id,work_title,country,year,original_title,speaker,quote_text,word_count,lang,source_name,source_url,retrieved_at,license_note,verified,popularity_score,emotion_valence,emotion_arousal,emotion_labels,semantic_tokens,section_hint,tags
34,You Are My Glory,C,2021,,Yu Tu,Please leave the rest of your time to me.,9,en,YouTube WeTV clip,https://www.youtube.com/watch?v=dnkZhWgBUdM,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,-1.0,0.25,"[""melancholy""]","[""please"", ""leave"", ""rest"", ""time""]",curated,country:C|usage:merch_forbidden
558,The Untamed,C,2019,,,"I will plant a big turnip today. After several days, many turnips will grow out.”",15,en,Film Daily,https://filmdaily.co/news/the-untamed-heartfelt-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,0.0,0.25,"[""resolve""]","[""plant"", ""big"", ""turnip"", ""today"", ""after"", ""several"", ""days"", ""many"", ""turnips"", ""grow"", ""out""]",html_scrape,country:C|usage:merch_forbidden|emotion:resolve
560,The Untamed,C,2019,,,"I want to bring a person back to the hidden heaven, just bring him back, and hide him.",18,en,Film Daily,https://filmdaily.co/news/the-untamed-heartfelt-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,0.0,0.25,"[""longing""]","[""want"", ""bring"", ""person"", ""back"", ""hidden"", ""heaven"", ""bring"", ""back"", ""hide""]",html_scrape,country:C|usage:merch_forbidden
561,The Untamed,C,2019,,,"In this world, everyone has their own things to do, their own paths to walk.",15,en,Film Daily,https://filmdaily.co/news/the-untamed-heartfelt-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,0.0,0.25,"[""longing""]","[""world"", ""everyone"", ""own"", ""things"", ""own"", ""paths"", ""walk""]",html_scrape,country:C|usage:merch_forbidden
475,Love O2O,C,2016,,,"If you’re unfaithful, I’ll restore your faith. If you lose all faith, I’ll convert you again.",19,en,Bitches Over Dramas,https://bitchesoverdramas.com/2019/02/18/love-o2o-xiao-nais-sss-dialogues/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,40.0,0.0,0.25,"[""longing""]","[""unfaithful"", ""restore"", ""faith"", ""lose"", ""faith"", ""convert"", ""again""]",html_scrape,country:C|usage:merch_forbidden
25,Hana Yori Dango,J,2005,,Tsukushi Makino,"I am the tough weed, Tsukushi Makino!",7,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""tough"", ""weed"", ""tsukushi"", ""makino""]",curated,country:J|usage:merch_forbidden
26,Hana Yori Dango,J,2005,,Tsukushi Makino,I'm a weed. I won't be crushed that easily.,9,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-1996-anime/quotes,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""resolve""]","[""i'm"", ""weed"", ""won't"", ""crushed"", ""easily""]",curated,country:J|usage:merch_forbidden|emotion:resolve
27,Hana Yori Dango,J,2005,,Domyouji Tsukasa,You're the only girl who ever punched me.,8,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""you're"", ""only"", ""girl"", ""ever"", ""punched""]",curated,country:J|usage:merch_forbidden
28,Hana Yori Dango,J,2005,,Shizuka Todo,Good shoes take you to good places.,7,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-1996-anime/quotes,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""good"", ""shoes"", ""take"", ""good"", ""places""]",curated,country:J|usage:merch_forbidden
533,Hana Yori Dango,J,2005,,,"If an apology could solve everything, we wouldn't need the police.",11,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""apology"", ""solve"", ""everything"", ""wouldn't"", ""need"", ""police""]",html_scrape,country:J|usage:merch_forbidden
534,Hana Yori Dango,J,2005,,,"Ichigo Ichie. One chance, one encounter.",6,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""ichigo"", ""ichie"", ""one"", ""chance"", ""one"", ""encounter""]",html_scrape,country:J|usage:merch_forbidden
536,Hana Yori Dango,J,2005,,,I'll take you there one day. Don't forget the blue paint.,11,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""i'll"", ""take"", ""there"", ""one"", ""day"", ""don't"", ""forget"", ""blue"", ""paint""]",html_scrape,country:J|usage:merch_forbidden|trope:time_memory
537,Hana Yori Dango,J,2005,,,I'm the type who'd rather have dumplings than blossoms.,9,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""i'm"", ""type"", ""who'd"", ""rather"", ""dumplings"", ""than"", ""blossoms""]",html_scrape,country:J|usage:merch_forbidden
538,Hana Yori Dango,J,2005,,,Hana Yori Dango.,3,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""hana"", ""yori"", ""dango""]",html_scrape,country:J|usage:merch_forbidden
542,Hana Yori Dango,J,2005,,,"The moon is beautiful, isn't it?",6,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,1.0,0.25,"[""tenderness""]","[""moon"", ""beautiful"", ""isn't""]",html_scrape,country:J|usage:merch_forbidden
543,Hana Yori Dango,J,2005,,,"I love you,",3,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,1.0,0.4,"[""tenderness""]","[""love""]",html_scrape,country:J|usage:merch_forbidden|desk:soft_craft|usage:inline_example_ok|usage:epigraph_ok|trope:confession
546,Hana Yori Dango,J,2005,,,You're the only girl who ever punched me. You're interesting.,10,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""you're"", ""only"", ""girl"", ""ever"", ""punched"", ""you're"", ""interesting""]",html_scrape,country:J|usage:merch_forbidden
22,Tokyo Love Story,J,1991,,Akana Rika,It isn't loneliness because nobody is there.,7,en,LINE TODAY,https://today.line.me/tw/v3/article/9mW3B63,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""isn't"", ""loneliness"", ""because"", ""nobody"", ""there""]",curated,country:J|usage:merch_forbidden
23,Tokyo Love Story,J,1991,,Akana Rika,Liking someone isn't shameful.,4,en,LINE TODAY,https://today.line.me/tw/v3/article/9mW3B63,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""liking"", ""someone"", ""isn't"", ""shameful""]",curated,country:J|usage:merch_forbidden
24,Tokyo Love Story,J,1991,,Akana Rika,Tell me how not to fall in love with someone.,10,en,OOXX Talk,https://ooxxtalk.com/tokyo_love_story_1/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,1.0,0.4,"[""tenderness""]","[""tell"", ""fall"", ""love"", ""someone""]",curated,country:J|usage:merch_forbidden|desk:soft_craft|usage:inline_example_ok|usage:epigraph_ok
532,Hana Yori Dango,J,2005,,,"I am the tough weed , Tsukushi Makino ! I won't be defeated by the likes of you!",16,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,0.0,0.25,"[""resolve""]","[""tough"", ""weed"", ""tsukushi"", ""makino"", ""won't"", ""defeated"", ""likes""]",html_scrape,country:J|usage:merch_forbidden|emotion:resolve
539,Hana Yori Dango,J,2005,,,I've always been looking at you. Even when you were looking at someone else.,14,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,1.0,0.4,"[""resolve""]","[""i've"", ""always"", ""looking"", ""even"", ""looking"", ""someone"", ""else""]",html_scrape,country:J|usage:merch_forbidden|emotion:resolve
544,Hana Yori Dango,J,2005,,,Being rich doesn't mean you're happy. It just means you have more expensive problems.,14,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,1.0,0.25,"[""tenderness""]","[""being"", ""rich"", ""doesn't"", ""mean"", ""you're"", ""happy"", ""means"", ""more"", ""expensive"", ""problems""]",html_scrape,country:J|usage:merch_forbidden|trope:status_gap
547,Hana Yori Dango,J,2005,,,"A person's worth isn't determined by their bank account, but by the strength of their heart.",16,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,1.0,0.25,"[""tenderness""]","[""person's"", ""worth"", ""isn't"", ""determined"", ""bank"", ""account"", ""strength"", ""heart""]",html_scrape,country:J|usage:merch_forbidden|desk:soft_craft|usage:epigraph_ok
548,Hana Yori Dango,J,2005,,,I’m not a prince. I’m just a guy who’s lost without you.,15,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,0.0,0.25,"[""longing""]","[""prince"", ""guy"", ""lost"", ""without""]",html_scrape,country:J|usage:merch_forbidden
549,Hana Yori Dango,J,2005,,,"Sometimes, the person you'd take a bullet for is the one behind the trigger.",14,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,0.0,0.25,"[""longing""]","[""sometimes"", ""person"", ""you'd"", ""take"", ""bullet"", ""one"", ""behind"", ""trigger""]",html_scrape,country:J|usage:merch_forbidden
550,Hana Yori Dango,J,2005,,,I don't need a knight in shining armor. I can swing my own sword.,14,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,0.0,0.25,"[""longing""]","[""don't"", ""need"", ""knight"", ""shining"", ""armor"", ""swing"", ""own"", ""sword""]",html_scrape,country:J|usage:merch_forbidden
552,Hana Yori Dango,J,2005,,,"Even if we are apart, our hearts will always be under the same sky.",14,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,1.0,0.4,"[""resolve""]","[""even"", ""apart"", ""hearts"", ""always"", ""under"", ""same"", ""sky""]",html_scrape,country:J|usage:merch_forbidden|emotion:resolve
553,Hana Yori Dango,J,2005,,,"Don't look back. If you look back, you'll see how far you've fallen. Just keep looking up.",17,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,44.0,0.0,0.25,"[""longing""]","[""don't"", ""look"", ""back"", ""look"", ""back"", ""you'll"", ""see"", ""far"", ""you've"", ""fallen"", ""keep"", ""looking""]",html_scrape,country:J|usage:merch_forbidden
535,Hana Yori Dango,J,2005,,,Is being silent and suppressing your own feelings really being thoughtful of the other person? Is it right to end this way?,22,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,40.0,0.0,0.25,"[""longing""]","[""being"", ""silent"", ""suppressing"", ""own"", ""feelings"", ""really"", ""being"", ""thoughtful"", ""other"", ""person"", ""right"", ""end"", ""way""]",html_scrape,country:J|usage:merch_forbidden
540,Hana Yori Dango,J,2005,,,"If you're going to be a weed, be a weed that blooms into a flower that no one can ignore.",20,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,40.0,0.0,0.25,"[""longing""]","[""you're"", ""going"", ""weed"", ""weed"", ""blooms"", ""flower"", ""one"", ""ignore""]",html_scrape,country:J|usage:merch_forbidden
541,Hana Yori Dango,J,2005,,,I don't care about your money. I don't care about your status. I just want the person who can see me for who I am.,25,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,40.0,0.0,0.25,"[""tenderness""]","[""don't"", ""care"", ""money"", ""don't"", ""care"", ""status"", ""want"", ""person"", ""see""]",html_scrape,country:J|usage:merch_forbidden|emotion:tenderness
545,Hana Yori Dango,J,2005,,,I'll make you the happiest woman in the world. Even if I have to fight the whole world to do it.,21,en,Shapes,https://shapes.inc/fandom/boys-over-flowers-manga-hana-yori-dango/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,40.0,0.0,0.4,"[""resolve""]","[""i'll"", ""make"", ""happiest"", ""woman"", ""world"", ""even"", ""fight"", ""whole"", ""world""]",html_scrape,country:J|usage:merch_forbidden|emotion:resolve
35,Boys Over Flowers,K,2009,,Gu Jun-pyo,"If apologizing solves everything, why do you think there are laws?",11,en,IMDb,https://www.imdb.com/title/tt1378091/quotes/,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""apologizing"", ""solves"", ""everything"", ""think"", ""there"", ""laws""]",E1,country:K|usage:merch_forbidden
36,Boys Over Flowers,K,2009,,Geum Jan-di,Commoners are nothing if not unyielding and persevering!,8,en,IMDb,https://www.imdb.com/title/tt1378091/quotes/,2026-08-28T20:33:45.265034+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""commoners"", ""nothing"", ""unyielding"", ""persevering""]",E1,country:K|usage:merch_forbidden
1,Crash Landing on You,K,2019,,Yoon Se-ri,Sometimes the wrong train takes you to the right station.,10,en,MovieSense,https://moviesense.io/crash-landing-on-you/quotes,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""sometimes"", ""wrong"", ""train"", ""takes"", ""right"", ""station""]",E5,country:K|usage:merch_forbidden
2,Crash Landing on You,K,2019,,Yoon Se-ri,Let's say destiny brought us together.,6,en,Morning Lazziness,https://www.morninglazziness.com/web-stories/10-best-quotes-from-crash-landing-on-you/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,1.0,0.4,"[""tenderness""]","[""let's"", ""say"", ""destiny"", ""brought"", ""together""]",curated,country:K|usage:merch_forbidden|trope:destiny_fate|trope:found_family|desk:soft_craft|desk:mirror_roast_safe|usage:inline_example_ok
3,Crash Landing on You,K,2019,,Ri Jeong-hyeok,Fortune and misfortune are like twisted rope.,7,en,Morning Lazziness,https://www.morninglazziness.com/web-stories/10-best-quotes-from-crash-landing-on-you/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""fortune"", ""misfortune"", ""like"", ""twisted"", ""rope""]",curated,country:K|usage:merch_forbidden
4,Crash Landing on You,K,2019,,Ri Jeong-hyeok,I like that woman. I have feelings for her.,9,en,ThyQuotes,https://www.thyquotes.com/ri-jeong-hyeok/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""like"", ""woman"", ""feelings""]",E7,country:K|usage:merch_forbidden
5,Crash Landing on You,K,2019,,Ri Jeong-hyeok,Keep only the people you like in your heart.,9,en,NeedSomeFun,https://www.needsomefun.net/best-16-crash-landing-on-you-quotes-korean-tv-series/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,1.0,0.25,"[""tenderness""]","[""keep"", ""only"", ""people"", ""like"", ""heart""]",curated,country:K|usage:merch_forbidden|desk:soft_craft|usage:epigraph_ok
554,Crash Landing on You,K,2019,,,가끔은 잘못 탄 기차가 목적지에 데려다주기도 한다. (Sometimes the wrong train takes you to the right station.),10,en,MovieSense,https://moviesense.io/crash-landing-on-you/quotes,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""sometimes"", ""wrong"", ""train"", ""takes"", ""right"", ""station""]",html_scrape,country:K|usage:merch_forbidden
11,Descendants of the Sun,K,2016,,Yoo Si-jin,You are already beautiful.,4,en,The Korea Times,https://www.koreatimes.co.kr/entertainment/shows-dramas/20160310/10-sweetest-quotes-from-descendants-of-the-sun,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,1.0,0.25,"[""tenderness""]","[""already"", ""beautiful""]",curated,country:K|usage:merch_forbidden
12,Descendants of the Sun,K,2016,,Yoo Si-jin,Just worry about me from now on.,7,en,The Korea Times,https://www.koreatimes.co.kr/entertainment/shows-dramas/20160310/10-sweetest-quotes-from-descendants-of-the-sun,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""worry"", ""now""]",curated,country:K|usage:merch_forbidden
13,Descendants of the Sun,K,2016,,Yoo Si-jin,There is a way.,4,en,The Korea Times,https://www.koreatimes.co.kr/entertainment/shows-dramas/20160310/10-sweetest-quotes-from-descendants-of-the-sun,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""there"", ""way""]",curated,country:K|usage:merch_forbidden
14,Descendants of the Sun,K,2016,,Yoo Si-jin,I never interrupt my enemies when they are making mistakes.,10,en,Slice of Asian Life,https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.4,"[""resolve""]","[""never"", ""interrupt"", ""enemies"", ""making"", ""mistakes""]",E1,country:K|usage:merch_forbidden|emotion:resolve
16,Descendants of the Sun,K,2016,,Kang Mo-yeon,I fight for life.,4,en,Slice of Asian Life,https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,2026-08-28T20:26:39.298140+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.4,"[""resolve""]","[""fight"", ""life""]",E2,country:K|usage:merch_forbidden|emotion:resolve
478,Descendants of the Sun,K,2016,,,When can we talk to each other without our ranks between us?,12,en,Slice of Asian Life,https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""talk"", ""each"", ""other"", ""without"", ""ranks"", ""between""]",html_scrape,country:K|usage:merch_forbidden
480,Descendants of the Sun,K,2016,,,Doctors don’t have boyfriends because they’re too busy.,10,en,Slice of Asian Life,https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""doctors"", ""don"", ""boyfriends"", ""because"", ""too"", ""busy""]",html_scrape,country:K|usage:merch_forbidden
485,Descendants of the Sun,K,2016,,,I think we’re bumping into each other while we pass by .,12,en,Slice of Asian Life,https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""think"", ""bumping"", ""each"", ""other"", ""while"", ""pass""]",html_scrape,country:K|usage:merch_forbidden
486,Descendants of the Sun,K,2016,,,Don’t give out unless you have for everyone.,9,en,Slice of Asian Life,https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""don"", ""give"", ""out"", ""unless"", ""everyone""]",html_scrape,country:K|usage:merch_forbidden
488,Descendants of the Sun,K,2016,,,Have you ever been bewitched?,5,en,Slice of Asian Life,https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""ever"", ""bewitched""]",html_scrape,country:K|usage:merch_forbidden
489,Descendants of the Sun,K,2016,,,I have and I think you know.,7,en,Slice of Asian Life,https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""think"", ""know""]",html_scrape,country:K|usage:merch_forbidden
491,Descendants of the Sun,K,2016,,,"Today, every call my superior office made was right, justify & honorable.",11,en,Slice of Asian Life,https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,0.0,0.25,"[""longing""]","[""today"", ""every"", ""call"", ""superior"", ""office"", ""made"", ""right"", ""justify"", ""honorable""]",html_scrape,country:K|usage:merch_forbidden|trope:workplace
494,Descendants of the Sun,K,2016,,,You can’t be happy if you have regrets.,9,en,Slice of Asian Life,https://sliceofasianlife.com/2016/04/13/descendants-of-the-sun-quotes/,2026-08-28T20:34:44.329072+00:00,quoted_for_commentary_candidate,1,48.0,1.0,0.25,"[""tenderness""]","[""happy"", ""regrets""]",html_scrape,country:K|usage:merch_forbidden
